material,local,form,code,shape,units,parameters,density,density_unit,embodied_carbon,embodied_water,density_ref,embodied_carbon_ref,embodied_water_ref,,***THIS COLUMN SAVED FOR LATER - NO REFERENCE TO ECOINVENT AT THIS TIME***
Concrete,0,Reinforced,CON-REI_,UNDEFINED,KG; M3,,2300,kg/m3,2.077,0.064,"ICE v.2.0 (2011), Concrete, cast, dense, reinforced","EPIC (2019), Concrete 20 MPa (derived), <https://doi.org/10.26188/5dc228ef98c5a>","EPIC (2019), Concrete 20 MPa (derived), <https://doi.org/10.26188/5dc228ef98c5a>",,"EcoInvent 3.8, concrete production, 40MPa, ready-mix, with Portland cement, GLO (Global), Inputs from technosphere, tap water"
Concrete,0,Other,CON-OTH_,UNDEFINED,KG,,2300,kg/m3,2.077,0.064,"ICE v.2.0 (2011), Concrete, cast, dense, reinforced","EPIC (2019), Concrete 20 MPa (derived), <https://doi.org/10.26188/5dc228ef98c5a>","EPIC (2019), Concrete 20 MPa (derived), <https://doi.org/10.26188/5dc228ef98c5a>",,"EcoInvent 3.8, concrete production, 40MPa, ready-mix, with Portland cement, GLO (Global), Inputs from technosphere, tap water"
"Earth, soil, mud",1,Earth roof,EAR-ROF_,UNDEFINED,KG; M3,,1460,kg/m3,0.024,1.800,"ICE v.2.0 (2011), earth, common","ICE v.2.0 (2011), Soil, General rammed soil","EPIC (2019), Sand, <https://doi.org/10.26188/5dc228ef98c5a>",,n.a.
"Earth, soil, mud",1,Mud plaster,EAR-PLA_,RECTANGULAR,KG; M3,,1460,kg/m3,0.024,1.800,"ICE v.2.0 (2011), earth, common","ICE v.2.0 (2011), Soil, General rammed soil","EPIC (2019), Sand, <https://doi.org/10.26188/5dc228ef98c5a>",,n.a.
"Earth, soil, mud",1,Rammed earth,EAR-RME_,RECTANGULAR,KG; M3,,1460,kg/m3,0.024,1.800,"ICE v.2.0 (2011), earth, common","ICE v.2.0 (2011), Soil, General rammed soil","EPIC (2019), Sand, <https://doi.org/10.26188/5dc228ef98c5a>",,n.a.
"Earth, soil, mud",1,Other,EAR-OTH_,UNDEFINED,KG,,1460,kg/m3,0.024,1.800,"ICE v.2.0 (2011), earth, common","ICE v.2.0 (2011), Soil, General rammed soil","EPIC (2019), Sand, <https://doi.org/10.26188/5dc228ef98c5a>",,n.a.
Glass,0,Window pane,GLA-WIN_,RECTANGULAR,KG; M2,,2500,kg/m3,2.000,32.200,"ICE v.2.0 (2011), Glass, solid (soda-lime)","EPIC (2019), Flat glass, <https://doi.org/10.26188/5dc228ef98c5a>","EPIC (2019), Flat glass, <https://doi.org/10.26188/5dc228ef98c5a>",,"EcoInvent 3.8, flat glass production, uncoated - GLO, Inputs from environment, Water, cooling, unspecified natural origin"
Glass,0,Wool insulation,GLA-WOO_,RECTANGULAR,KG; M3,,10,kg/m3,4.000,40.700,"ICE v.2.0 (2011), Insulation, Fibreglass (glasswool)","EPIC (2019), Glasswool insulation, <https://doi.org/10.26188/5dc228ef98c5a>","EPIC (2019), Glasswool insulation, <https://doi.org/10.26188/5dc228ef98c5a>",,"EcoInvent 3.8, glass wool mat production, GLO (Global), Inputs from technosphere, tap water"
Glass,0,Other,GLA-OTH_,UNDEFINED,KG,,2500,kg/m3,2.000,32.200,"ICE v.2.0 (2011), Insulation, Fibreglass (glasswool)","EPIC (2019), Flat glass, <https://doi.org/10.26188/5dc228ef98c5a>","EPIC (2019), Flat glass, <https://doi.org/10.26188/5dc228ef98c5a>",,"EcoInvent 3.8, glass wool mat production, GLO (Global), Inputs from technosphere, tap water"
"Grass, straw",1,..,GRA-ALL_,UNDEFINED,KG,,15,kg/m3,0.100,18.700,"Kuchai, N. et al., 2019. Embodied energy and embodied carbon of 81 shelters globally. ","Kuchai, N. et al., 2019. Embodied energy and embodied carbon of 81 shelters globally.","EPIC (2019), softwood (derived)<https://doi.org/10.26188/5dc228ef98c5a>",,"EcoInvent 3.8, grass production, organic, intensive, GLO (Global), Inputs from technosphere"
"Grass, straw",0,Other,GRA-OTH_,UNDEFINED,KG,,15,kg/m3,0.100,18.700,"Kuchai, N. et al., 2019. Embodied energy and embodied carbon of 81 shelters globally. ","Kuchai, N. et al., 2019. Embodied energy and embodied carbon of 81 shelters globally.","EPIC (2019), softwood (derived)<https://doi.org/10.26188/5dc228ef98c5a>",,"EcoInvent 3.8, grass production, organic, intensive, GLO (Global), Inputs from technosphere"
Gypsum,0,Plaster,GYP-PLA_,RECTANGULAR,KG; M2,,950,kg/m3,0.440,6.500,ICE v.2.0 (2011),"EPIC (2019), Gypsum plaster, <https://doi.org/10.26188/5dc228ef98c5a>","EPIC (2019), Gypsum plaster, <https://doi.org/10.26188/5dc228ef98c5a>",,"EcoInvent 3.8, gypsum fibreboard production, GLO (Global), Inputs from technosphere, tap water"
Gypsum,0,Other,GYP-OTH_,UNDEFINED,KG,,950,kg/m3,0.440,6.500,ICE v.2.0 (2011),"EPIC (2019), Gypsum plaster, <https://doi.org/10.26188/5dc228ef98c5a>","EPIC (2019), Gypsum plaster, <https://doi.org/10.26188/5dc228ef98c5a>",,"EcoInvent 3.8, gypsum fibreboard production, GLO (Global), Inputs from technosphere, tap water"
Hemp,0,"Rope, hemp (or other natural fibre) (10mm)",HMP-ROP_,ROPE,KG; M,,0.056,kg/m,4.265,18.700,"Engineering Toolbox, Manila-rope-strength
 (equivalent strength to IOM-specified synthetic rope)","Kalliala, E. et al., 1999. Environmental Profile of Cotton and Polyester Cotton Fabrics.","EPIC (2019), softwood (derived), <https://doi.org/10.26188/5dc228ef98c5a>",,"EcoInvent 3.8, sunn hemp production - GLO, Inputs from technosphere"
Hemp,0,Other,HMP-OTH_,UNDEFINED,KG,,0.056,kg/m,4.265,18.700,"Engineering Toolbox, Manila-rope-strength
 (equivalent strength to IOM-specified synthetic rope)","Kalliala, E. et al., 1999. Environmental Profile of Cotton and Polyester Cotton Fabrics.","EPIC (2019), softwood (derived), <https://doi.org/10.26188/5dc228ef98c5a>",,"EcoInvent 3.8, sunn hemp production - GLO, Inputs from technosphere"
Lime,0,Plaster,LME-PLA_,RECTANGULAR,KG,,1350,kg/m3,0.780,6.500,"Engineering Toolbox, Density of solids, Lime, slaked","ICE v.2.0 (2011), General lime","EPIC (2019), Gypsum plaster, <https://doi.org/10.26188/5dc228ef98c5a>",,"EcoInvent 3.8, lime production, hydrated, loose weight, GLO (Global), Inputs from environment, Water, well, in ground"
Lime,0,Other,LME-OTH_,UNDEFINED,KG,,1350,kg/m3,0.780,6.500,"Engineering Toolbox, Density of solids, Lime, slaked","ICE v.2.0 (2011), General lime","EPIC (2019), Gypsum plaster, <https://doi.org/10.26188/5dc228ef98c5a>",,"EcoInvent 3.8, lime production, hydrated, loose weight, GLO (Global), Inputs from environment, Water, well, in ground"
"Plastic, polymer",0,"Polycarbonate, PC sheet - solid",PLA-PCS_,RECTANGULAR,KG; PCE,,1200,kg/m3,14.000,265.000,"Engineering Toolbox, Density of solids, PC-polycarbonate","EPIC (2019), Polycarbonate, <https://doi.org/10.26188/5dc228ef98c5a>","EPIC (2019), Polycarbonate, <https://doi.org/10.26188/5dc228ef98c5a>",,"EcoInvent 3.8, polycarbonate production, GLO (Global), Inputs from environment, Water, well, in ground"
"Plastic, polymer",0,"Polycarbonate, PC sheet - corrugated",PLA-PCC_,COMPLEX-SHEET,KG; PCE,"{""1mm"":1.55, ""1.5mm"":2.33}",1200,kg/m3,14.000,265.000,"Engineering Toolbox, Density of solids, PC-polycarbonate","EPIC (2019), Polycarbonate, <https://doi.org/10.26188/5dc228ef98c5a>","EPIC (2019), Polycarbonate, <https://doi.org/10.26188/5dc228ef98c5a>",,"EcoInvent 3.8, polycarbonate production, GLO (Global), Inputs from environment, Water, well, in ground"
"Plastic, polymer",0,"Polycarbonate, PC sheet - twinwall",PLA-PCT_,COMPLEX-SHEET,KG; PCE,"{""6mm"":1.3, ""10mm"":1.7, ""16mm"":2.3}",1200,kg/m3,14.000,265.000,"Engineering Toolbox, Density of solids, PC-polycarbonate","EPIC (2019), Polycarbonate, <https://doi.org/10.26188/5dc228ef98c5a>","EPIC (2019), Polycarbonate, <https://doi.org/10.26188/5dc228ef98c5a>",,"EcoInvent 3.8, polycarbonate production, GLO (Global), Inputs from environment, Water, well, in ground"
"Plastic, polymer",0,Polystyrene - sheet (e.g. for insulation),PLA-PSY_,RECTANGULAR,KG; M2,,27,kg/m3,8.000,841.000,"Engineering Toolbox, Density of solids, Expanded polystyrene","EPIC (2019), Polystyrene, <https://doi.org/10.26188/5dc228ef98c5a>","EPIC (2019), Polystyrene, <https://doi.org/10.26188/5dc228ef98c5a>",,"EcoInvent 3.8, polystyrene production, expandable, GLO (Global), Inputs from environment, Water, well, in ground"
"Plastic, polymer",0,"Polyvinyl chloride, PVC pipe",PLA-PVC_,COMPLEX-SECTION,KG; M,"{""50mm"":0.76, ""75mm"":1.59, ""100mm"":2.99, ""150mm"":4.06}",1380,kg/m3,4.200,561.000,"ICE v.2.0 (2011), Polyvinylchloride (PVC)","EPIC (2019), Unplasticised polyvinyl chloride (uPVC), <https://doi.org/10.26188/5dc228ef98c5a>","EPIC (2019), Unplasticised polyvinyl chloride (uPVC), <https://doi.org/10.26188/5dc228ef98c5a>",,"EcoInvent 3.8, polyvinylchloride production, suspension polymerisation - GLO, Inputs from environment, Water, well, in ground "
"Plastic, polymer",0,"Rope, polypropylene, nylon (or other synthetic material) (8mm)",PLA-ROP_,ROPE,KG; M,,0.03,kg/m,7.400,186.000,"IOM, 2022. Emergency Manual <https://emergencymanual.iom.int>","EPIC (2019), Polypropylene (PP) sheet, <https://doi.org/10.26188/5dc228ef98c5a>","EPIC (2019), Polypropylene (PP) sheet, <https://doi.org/10.26188/5dc228ef98c5a>",,"EcoInvent 3.8, nylon 6 production, GLO (Global), Inputs from environment, Water, well, in ground"
"Plastic, polymer",0,"Tarpaulin, HDPE/LDPE",PLA-TAR_,SHEET,KG; PCE,,0.19,kg/m2,6.400,172.000,ICE v.2.0 (2011),"EPIC (2019), High-density polyethylene (HDPE) film, <https://doi.org/10.26188/5dc228ef98c5a>","EPIC (2019), High-density polyethylene (HDPE) film, <https://doi.org/10.26188/5dc228ef98c5a>",,"EcoInvent 3.8, textile production, nonwoven polypropylene, spunbond - GLO, Inputs from technosphere, tap water"
"Plastic, polymer",0,Other,PLA-OTH_,UNDEFINED,KG,,0.19,kg/m2,6.400,172.000,ICE v.2.0 (2011),"EPIC (2019), High-density polyethylene (HDPE) film, <https://doi.org/10.26188/5dc228ef98c5a>","EPIC (2019), High-density polyethylene (HDPE) film, <https://doi.org/10.26188/5dc228ef98c5a>",,"EcoInvent 3.8, textile production, nonwoven polypropylene, spunbond - GLO, Inputs from technosphere, tap water"
Rubber,0,..,RBR-ALL_,UNDEFINED,KG,,1500,kg/m3,3.700,111.000,ICE v.2.0 (2011),"EPIC (2019), Synthetic rubber, <https://doi.org/10.26188/5dc228ef98c5a>","EPIC (2019), Synthetic rubber, <https://doi.org/10.26188/5dc228ef98c5a>",,"EcoInvent 3.8, synthetic rubber production, GLO (Global), Inputs from technosphere"
Rubber,1,Other,RBR-OTH_,UNDEFINED,KG,,1500,kg/m3,3.700,111.000,ICE v.2.0 (2011),"EPIC (2019), Synthetic rubber, <https://doi.org/10.26188/5dc228ef98c5a>","EPIC (2019), Synthetic rubber, <https://doi.org/10.26188/5dc228ef98c5a>",,"EcoInvent 3.8, synthetic rubber production, GLO (Global), Inputs from technosphere"
Sand,1,..,SND-ALL_,UNDEFINED,KG; M3,,2240,kg/m3,0.007,1.800,ICE v.3.0 (2019),"EPIC (2019), Sand, <https://doi.org/10.26188/5dc228ef98c5a>","EPIC (2019), Sand, <https://doi.org/10.26188/5dc228ef98c5a>",,n.a.
Sand,0,Other,SND-OTH_,UNDEFINED,KG,,2240,kg/m3,0.007,1.800,ICE v.3.0 (2019),"EPIC (2019), Sand, <https://doi.org/10.26188/5dc228ef98c5a>","EPIC (2019), Sand, <https://doi.org/10.26188/5dc228ef98c5a>",,n.a.
Steel,0,Rebar,STE-REB_,COMPLEX-SECTION,KG; M,"{""6mm"":""0.22"", ""8mm"":0.395, ""10mm"":0.617, ""12mm"":0.889, ""16mm"":1.58}",7800,kg/m3,2.900,37.100,ICE v.2.0 (2011),"EPIC (2019), Hot rolled structural steel, <https://doi.org/10.26188/5dc228ef98c5a>","EPIC (2019), Hot rolled structural steel, <https://doi.org/10.26188/5dc228ef98c5a>",,"Crawford, RH & Pullen, S. (2011) Life cycle water analysis of a residential building and its occupants, Building Research and Information, 39/6"
Steel,0,Wire,STE-WIR_,ROPE,KG,,7800,kg/m3,2.100,44.300,ICE v.2.0 (2011),"EPIC (2019), Steel bar, <https://doi.org/10.26188/5dc228ef98c5a>","EPIC (2019), Steel bar, <https://doi.org/10.26188/5dc228ef98c5a>",,"Crawford, RH & Pullen, S. (2011) Life cycle water analysis of a residential building and its occupants, Building Research and Information, 39/7"
Steel,0,"Galvanised Sheet, corrugated",STE-GSH_,COMPLEX-SHEET,KG; PCE,"{""24 gauge (0.701mm)"":5.6, ""26 gauge (0.551mm)"":4.32, ""28 gauge (0.475mm)"":3.78, ""30 gauge (0.399mm)"":3.18, ""32 gauge (0.340mm)"":2.8}",7800,kg/m3,5.500,73.400,ICE v.2.0 (2011),"EPIC (2019), Steel sheet corrugated, <https://doi.org/10.26188/5dc228ef98c5a>","EPIC (2019), Steel sheet corrugated, <https://doi.org/10.26188/5dc228ef98c5a>",,"Crawford, RH & Pullen, S. (2011) Life cycle water analysis of a residential building and its occupants, Building Research and Information, 39/8"
Steel,0,"Plate, sheet, flat",STE-PLA_,RECTANGULAR,KG; M2,,7800,kg/m3,2.900,37.100,ICE v.2.0 (2011),"EPIC (2019), Hot rolled structural steel, <https://doi.org/10.26188/5dc228ef98c5a>","EPIC (2019), Hot rolled structural steel, <https://doi.org/10.26188/5dc228ef98c5a>",,"Crawford, RH & Pullen, S. (2011) Life cycle water analysis of a residential building and its occupants, Building Research and Information, 39/9"
Steel,0,Strap,STE-STR_,RECTANGULAR,KG; M; PCE,,7800,kg/m3,2.100,44.300,ICE v.2.0 (2011),"EPIC (2019), Steel bar, <https://doi.org/10.26188/5dc228ef98c5a>","EPIC (2019), Steel bar, <https://doi.org/10.26188/5dc228ef98c5a>",,"Crawford, RH & Pullen, S. (2011) Life cycle water analysis of a residential building and its occupants, Building Research and Information, 39/10"
Steel,0,"Structural section, circular hollow section (tube)",STE-CHS_,COMPLEX-SECTION,KG; M; PCE,"{""25mm"":2.5, ""40mm"":4.04, ""50mm"":5.43, ""65mm"":8.62, ""80mm"":11.27}",7800,kg/m3,2.900,37.100,ICE v.2.0 (2011),"EPIC (2019), Hot rolled structural steel, <https://doi.org/10.26188/5dc228ef98c5a>","EPIC (2019), Hot rolled structural steel, <https://doi.org/10.26188/5dc228ef98c5a>",,"Crawford, RH & Pullen, S. (2011) Life cycle water analysis of a residential building and its occupants, Building Research and Information, 39/11"
Steel,0,"Structural section, square hollow section",STE-SHS_,COMPLEX-SECTION,KG; M; PCE,"{""25x25mm"":1.64, ""40x40mm"":3.05, ""50x50mm"":3.95, ""80x80mm"":11.3}",7800,kg/m3,2.900,37.100,ICE v.2.0 (2011),"EPIC (2019), Hot rolled structural steel, <https://doi.org/10.26188/5dc228ef98c5a>","EPIC (2019), Hot rolled structural steel, <https://doi.org/10.26188/5dc228ef98c5a>",,"Crawford, RH & Pullen, S. (2011) Life cycle water analysis of a residential building and its occupants, Building Research and Information, 39/12"
Steel,0,"Structural section, rectangular hollow section",STE-RHS_,COMPLEX-SECTION,KG; M; PCE,"{""20x40mm"":2.0, ""25x50mm"":2.6, ""40x60mm"":4.3, ""40x80mm"":5.2, ""50x70mm"":5.2, ""50x100mm"":10.5, ""60x80mm"":6.1, ""60x100mm"":10.2, ""80x120mm"":17.0, ""80x140mm"":18.9, ""100x150mm"":27.7}",7800,kg/m3,2.900,37.100,ICE v.2.0 (2011),"EPIC (2019), Hot rolled structural steel","EPIC (2019), Hot rolled structural steel",,"Crawford, RH & Pullen, S. (2011) Life cycle water analysis of a residential building and its occupants, Building Research and Information, 39/13"
Steel,0,"Structural section, I section",STE-ISE_,COMPLEX-SECTION,KG; M; PCE,"{""127x76mm"":13, ""152x89mm"":16, ""178x102mm"":19}",7800,kg/m3,2.900,37.100,ICE v.2.0 (2011),"EPIC (2019), Hot rolled structural steel, <https://doi.org/10.26188/5dc228ef98c5a>","EPIC (2019), Hot rolled structural steel, <https://doi.org/10.26188/5dc228ef98c5a>",,"Crawford, RH & Pullen, S. (2011) Life cycle water analysis of a residential building and its occupants, Building Research and Information, 39/14"
Steel,0,"Structural section, C section",STE-CSE_,COMPLEX-SECTION,KG; M; PCE,"{""75x35mm"":5.96, ""100x40mm"":8.05, ""125x50mm"":13.41, ""150x50mm"":15.65, ""175x60mm"":20.48, ""200x60mm"":21.98}",7800,kg/m3,2.900,37.100,ICE v.2.0 (2011),"EPIC (2019), Hot rolled structural steel, <https://doi.org/10.26188/5dc228ef98c5a>","EPIC (2019), Hot rolled structural steel, <https://doi.org/10.26188/5dc228ef98c5a>",,"Crawford, RH & Pullen, S. (2011) Life cycle water analysis of a residential building and its occupants, Building Research and Information, 39/15"
